Details,State,Found In CSV
Nike Soccer Camp with Beestera Soccer Training at Sofive Brooklyn,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Rip Van Winkle,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Latham,new-york,No
Nike Soccer Camp with the French Football Federation - Mercy College,new-york,No
Nike Soccer Camp with Beestera Soccer Training - East Greenbush,new-york,Yes
Nike Soccer Camp at St. Joseph's University - Long Island,new-york,Yes
Nike Soccer Camp with UK Soccer School at Flushing Meadows Corona Park,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Golden Goal,new-york,Yes
Nike Girls Soccer Camp at Adelphi University,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Bethlehem,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Glenville,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Greenville,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Locust Valley,new-york,No
Nike Soccer Camp with Beestera Soccer Training - New Paltz,new-york,Yes
Nike Soccer Camp with the French Football Federation - New Rochelle,new-york,Yes
Nike Soccer Camp with the French Football Federation - Randall's Island,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Niskayuna,new-york,No
Nike Soccer Camp with Beestera Soccer Training - Oneonta,new-york,Yes
Nike Soccer Camp at Pace University,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Queensbury,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Red Hook,new-york,Yes
Nike Soccer Camp at Nazareth University,new-york,No
Nike Soccer Camp in Rockville Centre,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Saratoga Wilton,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Saugerties,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Rotterdam,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Rochester,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Stillwater,new-york,Yes
Nike Soccer Camp with the French Football Federation - Stony Brook School,new-york,Yes
