State,City,Camp Name (JSON),Event Details (CSV),Matched
new-jersey,Metuchen,Nike Soccer Camp Metuchen SportsPlex,Nike Soccer Camp Metuchen SportsPlex,True
new-jersey,Montvale,Nike Boys Soccer Camp at Saint Joseph Regional High School,Nike Boys Soccer Camp at Saint Joseph Regional High School,True
new-jersey,Moorestown,Nike Soccer Camp in Moorestown,Nike Soccer Camp in Moorestown,True
new-jersey,Newark,Nike Soccer Camp at Rutgers University,Nike Soccer Camp at Rutgers University,True
new-jersey,Pennington,Bridges United Nike Soccer College ID Camp - Pennington School,Bridges United Nike Soccer College ID Camp - Pennington School,True
new-jersey,Pitman,Nike Soccer Camp Total Turf Experience Complex,Nike Soccer Camp Total Turf Experience Complex,True
new-jersey,South Plainfield,Nike Soccer Camp at All Seasons Sports Academy,Nike Soccer Camp at All Seasons Sports Academy,True
new-jersey,Teaneck,Nike Soccer Camp at Fairleigh Dickinson University - Teaneck,Nike Soccer Camp at Fairleigh Dickinson University - Teaneck,True
new-jersey,Tinton Falls,Nike Soccer Camp at Ranney School - Tinton Falls,Nike Soccer Camp at Ranney School - Tinton Falls,True
new-jersey,Toms River,Nike Soccer Camp in Toms River,Nike Soccer Camp in Toms River,True
new-jersey,West Windsor Township,Nike Soccer Camp at Mercer Community College,Nike Soccer Camp at Mercer Community College,True
new-york,Albany,Nike Soccer Camp with Beestera Soccer Training - Afrim's Sports Park,Nike Soccer Camp with Beestera Soccer Training - Afrim's Sports Park,True
new-york,Averill Park,Nike Soccer Camp with Beestera Soccer Training - Averill Park,Nike Soccer Camp with Beestera Soccer Training - Averill Park,True
new-york,Bronx,Nike Soccer Camp at Fordham University,Nike Soccer Camp at Fordham University,True
new-york,Brooklyn,Nike Soccer Camp with Beestera Soccer Training at Sofive Brooklyn,Nike Soccer Camp with Beestera Soccer Training at Sofive Brooklyn,True
new-york,Cairo,Nike Soccer Camp with Beestera Soccer Training - Rip Van Winkle,Nike Soccer Camp with Beestera Soccer Training - Rip Van Winkle,True
new-york,East Greenbush,Nike Soccer Camp with Beestera Soccer Training - East Greenbush,Nike Soccer Camp with Beestera Soccer Training - East Greenbush,True
new-york,East Patchogue,Nike Soccer Camp at St. Joseph's University - Long Island,Nike Soccer Camp at St. Joseph's University - Long Island,True
new-york,Flushing,Nike Soccer Camp with UK Soccer School at Flushing Meadows Corona Park,Nike Soccer Camp with UK Soccer School at Flushing Meadows Corona Park,True
new-york,Fort Ann,Nike Soccer Camp with Beestera Soccer Training - Golden Goal,Nike Soccer Camp with Beestera Soccer Training - Golden Goal,True
new-york,Garden City,Nike Girls Soccer Camp at Adelphi University,Nike Girls Soccer Camp at Adelphi University,True
new-york,Glenmont,Nike Soccer Camp with Beestera Soccer Training - Bethlehem,Nike Soccer Camp with Beestera Soccer Training - Bethlehem,True
new-york,glenville,Nike Soccer Camp with Beestera Soccer Training - Glenville,Nike Soccer Camp with Beestera Soccer Training - Glenville,True
new-york,Greenville,Nike Soccer Camp with Beestera Soccer Training - Greenville,Nike Soccer Camp with Beestera Soccer Training - Greenville,True
new-york,New Paltz,Nike Soccer Camp with Beestera Soccer Training - New Paltz,Nike Soccer Camp with Beestera Soccer Training - New Paltz,True
new-york,New Rochelle,Nike Soccer Camp with the French Football Federation - New Rochelle,Nike Soccer Camp with the French Football Federation - New Rochelle,True
new-york,New York City,Nike Soccer Camp with the French Football Federation - Randall's Island,Nike Soccer Camp with the French Football Federation - Randall's Island,True
new-york,Oneonta,Nike Soccer Camp with Beestera Soccer Training - Oneonta,Nike Soccer Camp with Beestera Soccer Training - Oneonta,True
new-york,Pleasantville,Nike Soccer Camp at Pace University,Nike Soccer Camp at Pace University,True
new-york,Queensbury,Nike Soccer Camp with Beestera Soccer Training - Queensbury,Nike Soccer Camp with Beestera Soccer Training - Queensbury,True
new-york,Red Hook,Nike Soccer Camp with Beestera Soccer Training - Red Hook,Nike Soccer Camp with Beestera Soccer Training - Red Hook,True
new-york,Rockville Centre,Nike Soccer Camp in Rockville Centre,Nike Soccer Camp in Rockville Centre,True
