No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
218,Nike Soccer Camp at Wright State University,39.7589478,-84.1916069,Dayton,OHIO,"JUN. 9 - JUN. 12, 2025",Ages: 5 - 13,Co-Ed,Player Development,Day Camp 9am-3pm,$349 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$249 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 26, 2025",Ages: 5 - 13,Co-Ed,Player Development,Day Camp 9am-3pm,$349 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$249 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 5 - 13,Co-Ed,Player Development,Day Camp 9am-3pm,$349 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$249 Tuition + $30 Registration Fee
219,Nike Soccer Camp at Ohio Wesleyan University,38.6920451,-75.4013315,Delaware,OHIO,"JUN. 23 - JUN. 26, 2025",Ages: 6 - 14,Co-Ed,Player Development,Day Camp 9am-3pm (Ages 9+),$379 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 6 - 14,Co-Ed,Player Development,Day Camp 9am-3pm (Ages 9+),$379 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
220,SPIRE Soccer Camp - Summer Extended Training,46.2017559,6.1466014,Geneva,OHIO,"JUN. 8 - JUN. 20, 2025",Ages: 13 - 18,Co-Ed,All Skills,Overnight,"$3,295 Tuition + $40 Registration Fee"
,,,,,,,,,All Skills,Day,"$1,340 Tuition + $40 Registration Fee"
,,,,,,"JUN. 15 - JUN. 27, 2025",Ages: 13 - 18,Co-Ed,All Skills,Overnight,"$3,295 Tuition + $40 Registration Fee"
,,,,,,,,,All Skills,Day,"$1,340 Tuition + $40 Registration Fee"
,,,,,,"JUL. 6 - JUL. 18, 2025",Ages: 13 - 18,Co-Ed,All Skills,Overnight,"$3,295 Tuition + $40 Registration Fee"
,,,,,,,,,All Skills,Day,"$1,340 Tuition + $40 Registration Fee"
,,,,,,"JUL. 6 - JUL. 27, 2025",Ages: 13 - 18,Co-Ed,All Skills,Overnight,"$4,925 Tuition + $40 Registration Fee"
,,,,,,,,,All Skills,Day,"$1,930 Tuition + $40 Registration Fee"
,,,,,,"JUL. 13 - JUL. 25, 2025",Ages: 13 - 18,Co-Ed,All Skills,Overnight,"$3,295 Tuition + $40 Registration Fee"
,,,,,,,,,All Skills,Day,"$1,340 Tuition + $40 Registration Fee"
222,Nike Soccer Camp in Norman Oklahoma,35.2225717,-97.4394816,Norman,OKLAHOMA,"JUN. 8 - JUN. 10, 2025",Ages: 10 - 16,Co-Ed,All Skills,Extended 9:00am-9:00pm,$504 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$579 Tuition + $40 Registration Fee
,,,,,,"JUL. 13 - JUL. 15, 2025",Ages: 10 - 16,Co-Ed,All Skills,Extended 9:00am-9:00pm,$504 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$579 Tuition + $40 Registration Fee
223,Nike Soccer Camp in Oklahoma City,35.4729886,-97.5170536,Oklahoma City,OKLAHOMA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day (9am-3pm),$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$269 Tuition + $30 Registration Fee
224,Nike Soccer Camp at Oklahoma State University,36.1156306,-97.0585717,Stillwater,OKLAHOMA,"JUL. 9 - JUL. 11, 2025",Ages: 6 - 18,Co-Ed,"Field Player, Goalkeeper",Day 10am-4pm,$229 Tuition + $30 Registration Fee
226,Nike Soccer Camp at Oregon State University,44.5645659,-123.2620435,Corvallis,OREGON,"JUL. 6 - JUL. 10, 2025",Ages: 6 - 17,Co-Ed,All Skills,Day 9:00AM-4:00PM,$529 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Extended Day 9:00am-9:00pm,$699 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight (Ages 11+),$879 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$409 Tuition + $40 Registration Fee
,,,,,,"JUL. 20 - JUL. 24, 2025",Ages: 6 - 17,Co-Ed,All Skills,Day 9:00AM-4:00PM,$529 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Extended Day 9:00am-9:00pm,$699 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight (Ages 11+),$879 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$409 Tuition + $40 Registration Fee
227,Nike Soccer Camp in Hillsboro,45.5228939,-122.989827,Hillsboro,OREGON,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-4pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Afternoon Half Day 1pm-4pm,$339 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-4pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Afternoon Half Day 1pm-4pm,$339 Tuition + $30 Registration Fee
228,Nike Soccer Camp in Lake Oswego,45.4206749,-122.670649,Lake Oswego,OREGON,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 14,Co-Ed,"All Skills, Advanced Skills",Day 9:00AM-3:00PM,$459 Tuition + $30 Registration Fee
,,,,,,,,,"All Skills, Advanced Skills",Half Day 9:00AM-12:00PM,$319 Tuition + $30 Registration Fee
229,Nike Soccer Camp at George Fox University,45.300347,-122.972751,Newberg,OREGON,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00AM-3:00PM (Ages 9-14),$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00AM-12:00PM (Ages 6-14),$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 19 - JUL. 20, 2025",Ages: 8 - 18,Co-Ed,"Field Player, Goalkeeper",Half Day 9:00AM-12:00PM,$179 Tuition + $10 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00AM-3:00PM (Ages 9-14),$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00AM-12:00PM (Ages 6-14),$259 Tuition + $30 Registration Fee
230,Nike Soccer Camp at Portland State University,45.5202471,-122.674194,Portland,OREGON,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-4pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Afternoon Half Day 1pm-4pm,$339 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-4pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Afternoon Half Day 1pm-4pm,$339 Tuition + $30 Registration Fee
231,Nike Soccer Camp in Salem,44.9391565,-123.033121,Salem,OREGON,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00AM-3:00PM,$349 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00AM-12:00PM,$249 Tuition + $30 Registration Fee
232,Nike Soccer Camp in Bethlehem,-1.45056,-48.4682453,Bethlehem,PENNSYLVANIA,"JUN. 23 - JUN. 27, 2025",Ages: 5 - 15,Co-Ed,All Skills,Day 9am-3pm (Ages 7+),$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day,$279 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 15,Co-Ed,All Skills,Day 9am-3pm (Ages 7+),$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day,$279 Tuition + $30 Registration Fee
233,Nike Soccer Camp at Centre Square Park,40.147809,-75.272781,Blue Bell,PENNSYLVANIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$269 Tuition + $30 Registration Fee
234,Nike Soccer Camp at DeSales University,40.529266,-75.393236,Center Valley,PENNSYLVANIA,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-4:00pm),$369 Tuition + $30 Registration Fee
,,,,,,"JUN. 16 - JUN. 19, 2025",Ages: 14 - 18,Co-Ed,High School Soccer Players,Half Day (5:30pm-8:00pm),$259 Tuition + $30 Registration Fee
235,Nike Soccer Camp in Chester Springs,40.0951038,-75.6168681,Chester Springs,PENNSYLVANIA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$259 Tuition + $30 Registration Fee
236,Nike Soccer Camp at Sofive Elkins Park,40.0770553,-75.1268413,Elkins Park,PENNSYLVANIA,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
237,Nike Soccer Camp at Erie Sports Center,42.1294712,-80.0852695,Erie,PENNSYLVANIA,"JUL. 20 - JUL. 23, 2025",Ages: 10 - 18,Co-Ed,"Field Player, Goalkeeper",Extended Day 9am-9pm,$489 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Overnight,$589 Tuition + $40 Registration Fee
238,Nike Soccer Camp at Gettysburg College,39.8308973,-77.231012,Gettysburg,PENNSYLVANIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 8 - 14,Co-Ed,Elite,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
,,,,,,,,,Elite,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
239,Nike Soccer Camp with Beestera Soccer Training - Greater Chester Valley,52.1159559,-2.3258985,Malvern,PENNSYLVANIA,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
240,Nike Soccer Camp with Futeballer - PA Classics Soccer Park,43.0701432,-74.7954671,Manheim,PENNSYLVANIA,"JUN. 23 - JUN. 27, 2025",Ages: 13 - 16,Co-Ed,High School Soccer Players,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,High School Soccer Players,Half Day,$269 Tuition + $30 Registration Fee
241,Nike Soccer Camp with Futeballer at In The Net,5.882204,-162.0748745,Palmyra,PENNSYLVANIA,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day,$229 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - JUL. 31, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day,$229 Tuition + $30 Registration Fee
242,Nike Soccer Camp in Phoenixville,40.1303822,-75.5149128,Phoenixville,PENNSYLVANIA,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$269 Tuition + $30 Registration Fee
243,Nike Girls Soccer Camp at The Ellis School,40.4416941,-79.9900861,Pittsburgh,PENNSYLVANIA,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 15,Girls,All Skills,Day Camp 9am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$299 Tuition + $30 Registration Fee
244,Nike Soccer Camp at Albright College,51.4514953,-0.9836342,Reading,PENNSYLVANIA,"JUL. 6 - JUL. 9, 2025",Ages: 9 - 16,Co-Ed,Field Player,Extended Day 9am-8pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,Field Player,Overnight,$699 Tuition + $40 Registration Fee
245,Nike Soccer Camp with Beestera Soccer Training - Ridley Park,39.8812236,-75.3237993,Ridley Park,PENNSYLVANIA,"JUN. 16 - JUN. 20, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
246,Nike Soccer Camp with Beestera Soccer Training - Tredyffrin,41.6264414,-75.3045103,Wayne,PENNSYLVANIA,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
247,Nike Soccer Camp at Westtown School,39.9597213,-75.6059638,West Chester,PENNSYLVANIA,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 15,Co-Ed,All Skills,Day 9am-3pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$309 Tuition + $30 Registration Fee
248,Nike Soccer Camp with Back Mountain Surf - Wilkes-Barre,41.2336991,-75.8536418,Wilkes-Barre Township,PENNSYLVANIA,"JUN. 16 - JUN. 20, 2025",Ages: 7 - 12,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$229 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$329 Tuition + $30 Registration Fee
,,,,,,"JUN. 16 - JUN. 20, 2025",Ages: 13 - 18,Co-Ed,Elite,Half Day (9:00am-12:00pm),$229 Tuition + $30 Registration Fee
,,,,,,,,,Elite,Day (9:00am-3:00pm),$329 Tuition + $30 Registration Fee
249,Nike Soccer Camp with Next Step Training - St. George's School in Newport,41.5623178,-72.6509061,Middletown,RHODE-ISLAND,"JUL. 28 - JUL. 31, 2025",Ages: 7 - 17,Co-Ed,High Performance,Day 9am-3pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,High Performance,Half-Day (9:00am-12:00pm),$349 Tuition + $30 Registration Fee
250,Nike Soccer Camp with Next Step Training - Woonsocket,42.0028761,-71.5147839,Woonsocket,RHODE-ISLAND,"JUN. 23 - JUN. 26, 2025",Ages: 7 - 17,Co-Ed,All Skills,Day (9am-3pm),$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9:00am-12:00pm),$279 Tuition + $30 Registration Fee
251,Nike Soccer Camp in Fort Mill,35.0073697,-80.9450759,Fort Mill,SOUTH-CAROLINA,"JUN. 9 - JUN. 13, 2025",Ages: 7 - 14,Co-Ed,All Skills,Half Day Camp 9am-12pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 7 - 14,Co-Ed,All Skills,Half Day Camp 9am-12pm,$259 Tuition + $30 Registration Fee
252,Nike Soccer Camp North Greenville University,34.851354,-82.3984882,Greenville,SOUTH-CAROLINA,"JUN. 9 - JUN. 12, 2025",Ages: 10 - 18,Co-Ed,All Skills,Extended Day 9am-7pm,$499 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$599 Tuition + $40 Registration Fee
,,,,,,"JUN. 16 - JUN. 19, 2025",Ages: 10 - 18,Co-Ed,All Skills,Extended Day 9am-7pm,$499 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$599 Tuition + $40 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 10 - 18,Co-Ed,All Skills,Extended Day 9am-7pm,$499 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$599 Tuition + $40 Registration Fee
253,Nike Soccer Camp in Wellford,34.9509521,-82.1059416,Wellford,SOUTH-CAROLINA,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day Camp 9am-12pm,$229 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Full Day Camp 9am-3pm,$329 Tuition + $30 Registration Fee
254,Nike Soccer Camp in Sioux Falls,43.5476008,-96.7293629,Sioux Falls,SOUTH-DAKOTA,"JUN. 9 - JUN. 13, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$229 Tuition + $30 Registration Fee
255,Nike Soccer Camp with Prospect Soccer Academy - Memphis,35.1460249,-90.0517638,Memphis,TENNESSEE,"JUN. 2 - JUN. 6, 2025",Ages: 6 - 16,Co-Ed,"High Performance, Player Development",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"High Performance, Player Development",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,"High Performance, Player Development",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"High Performance, Player Development",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,"High Performance, Player Development",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"High Performance, Player Development",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
256,Nike Soccer Camp with Beestera Soccer Training - Mt. Juliet,36.200055,-86.5186054,Mt. Juliet,TENNESSEE,"JUN. 2 - JUN. 6, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
257,Nike Soccer Camp at Christ Presbyterian Academy,36.1622767,-86.7742984,Nashville,TENNESSEE,"MAY. 26 - MAY. 30, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
258,Nike Soccer Camp with Beestera Soccer Training - Thompson's Station,35.802011,-86.9113908,Thompson's Station,TENNESSEE,"JUN. 9 - JUN. 13, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$219 Tuition + $30 Registration Fee
259,Nike Soccer Camp at Upper 90 - Forth Worth/Arlington,32.7355816,-97.1071186,Arlington,TEXAS,"JUN. 23 - JUN. 26, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$354 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$454 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - JUL. 31, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$354 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$454 Tuition + $30 Registration Fee
260,Nike Soccer Camp in Westlake - Austin,30.2711286,-97.7436995,Austin,TEXAS,"JUN. 16 - JUN. 19, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (8:00am-11:00am),$344 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (8:00am-2:00pm),$414 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (8:00am-11:00am),$344 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (8:00am-2:00pm),$414 Tuition + $30 Registration Fee
261,Nike Soccer Camp at Texas Woman's University,33.1838787,-97.1413417,Denton,TEXAS,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day (9am-3pm),$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day (9am-3pm),$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$279 Tuition + $30 Registration Fee
262,Nike Soccer Camp at Houston Christian University,29.7589382,-95.3676974,Houston,TEXAS,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
263,Nike Soccer Camp in Keller,32.9299655,-97.2271249,Keller,TEXAS,"JUN. 9 - JUN. 12, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$229 Tuition + $30 Registration Fee
,,,,,,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$229 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 26, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$229 Tuition + $30 Registration Fee
264,Nike Soccer Camps at Soccer Zone Live Oak,28.2678746,-98.101923,Live Oak,TEXAS,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (9am-3pm),$399 Tuition + $30 Registration Fee
265,Nike Soccer Camp with UK Soccer School at HEB Soccer Complex,29.7028266,-98.1257348,New Braunfels,TEXAS,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$279 Tuition + $30 Registration Fee
266,Nike Soccer Camp in The Woodlands,30.1602158,-95.4443834,Oak Ridge North,TEXAS,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
267,Nike Soccer Camp in Austin - Round Rock Multipurpose Complex,30.5085915,-97.6788056,Round Rock,TEXAS,"JUN. 9 - JUN. 13, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (8am-2pm),$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (8am-11am),$319 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (8am-2pm),$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (8am-11am),$319 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (8am-2pm),$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (8am-11am),$319 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (8am-2pm),$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (8am-11am),$319 Tuition + $30 Registration Fee
268,Nike Soccer Camp at St. Mary's University,29.4246002,-98.4951405,San Antonio,TEXAS,"JUN. 2 - JUN. 5, 2025",Ages: 8 - 16,Co-Ed,All Skills,Half Day (8:00am-11:00am),$279 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (8:00am-2:30pm),$399 Tuition + $30 Registration Fee
,,,,,,"JUN. 8 - JUN. 11, 2025",Ages: 10 - 18,Girls,All Skills,Overnight,$599 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Extended Day (9:00am-9:00pm),$479 Tuition + $40 Registration Fee
,,,,,,"JUN. 16 - JUN. 19, 2025",Ages: 8 - 16,Co-Ed,All Skills,Half Day (8:00am-11:00am),$279 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (8:00am-2:30pm),$399 Tuition + $30 Registration Fee
269,Nike Soccer Camp at Crossbar Academy - Tomball,30.0971621,-95.6160549,Tomball,TEXAS,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
