No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
31,Nike Soccer Camp in Lancaster,40.0379958,-76.3056707,Lancaster,CALIFORNIA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-2:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-11:30am,$229 Tuition + $30 Registration Fee
32,Nike Soccer Camps in Larkspur,37.9340915,-122.5352539,Larkspur,CALIFORNIA,"JUN. 30 - JUL. 3, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$399 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$399 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$399 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$399 Tuition + $30 Registration Fee
33,Nike Soccer Camp in Livermore,37.6820583,-121.768053,Livermore,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 16,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
34,Nike Soccer Camp at Windward School,34.0536909,-118.242766,Los Angeles,CALIFORNIA,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 9am-3pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$309 Tuition + $30 Registration Fee
35,Nike Soccer Camp powered by Steel Sports - Conejo Valley,51.5754985,0.0899693,Newbury Park,CALIFORNIA,"JUN. 16 - JUN. 20, 2025",Ages: 7 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 7 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
36,Nike Soccer Camp with Golden Boot Academy - Orinda,37.8771476,-122.1796888,Orinda,CALIFORNIA,"AUG. 4 - AUG. 8, 2025",Ages: 8 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$499 Tuition + $30 Registration Fee
37,Nike Soccer Camp with Player ONE Performance - Palo Alto,37.4443293,-122.1598465,Palo Alto,CALIFORNIA,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 14,Co-Ed,"Player ONE Performance (ages 11-14), Player ONE Playmakers (ages 6-10)",Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,"Player ONE Performance (ages 11-14), Player ONE Playmakers (ages 6-10)",Half Day 9:00am-12:00pm,$419 Tuition + $30 Registration Fee
38,Nike Soccer Camp at Stevenson School Pebble Beach,33.6551708,-78.9219743,Pebble Beach,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (9:00am-5:00pm),$554 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 12 - 18,Co-Ed,Advanced,Day (9:00am-5:00pm),$554 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day (9:00am-5:00pm),$554 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 12 - 18,Co-Ed,Advanced,Day (9:00am-5:00pm),$554 Tuition + $30 Registration Fee
39,Nike Soccer Camp in Petaluma,38.2325829,-122.636465,Petaluma,CALIFORNIA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,"JUN. 30 - JUL. 3, 2025",Ages: 6 - 15,Co-Ed,All Skills,Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
40,Nike Soccer Camp at Sofive Pomona,34.0553813,-117.7517496,Pomona,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"JUN. 30 - JUL. 3, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$219 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$319 Tuition + $30 Registration Fee
41,Nike Soccer Camp at Sofive Rancho Cucamonga,34.1033192,-117.575173,Rancho Cucamonga,CALIFORNIA,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
42,Nike Soccer Camp at Simpson University,40.5863563,-122.391675,Redding,CALIFORNIA,"JUN. 16 - JUN. 19, 2025",Ages: 8 - 12,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$229 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 25, 2025",Ages: 13 - 17,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$199 Tuition + $30 Registration Fee
43,Nike Soccer Camp UC Riverside,33.9824949,-117.374238,Riverside,CALIFORNIA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
44,Nike Soccer Camp at Jessup University,38.7907339,-121.2357828,Rocklin,CALIFORNIA,"JUN. 23 - JUN. 26, 2025",Ages: 8 - 18,Co-Ed,All Skills,Day 9am-2pm,$449 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 10 - 18,Co-Ed,All Skills,Overnight,$769 Tuition + $40 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 8 - 18,Co-Ed,All Skills,Day 9am-2pm,$449 Tuition + $30 Registration Fee
